Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
188	-17	17	7013	188	-17	17	7013	188	-17	17	7013	188	-17	17	7013	188	-17	17	7013
189	-20	20	7033	189	-20	20	7033	189	-20	20	7033	189	-20	20	7033	189	-20	20	7033
190	-25	25	7058	190	-25	25	7058	190	-25	25	7058	190	-25	25	7058	190	-25	25	7058
191	-17	17	7075	191	-17	17	7075	191	-17	17	7075	191	-17	17	7075	191	-17	17	7075
192	-17	17	7092	192	-17	17	7092	192	-17	17	7092	192	-17	17	7092	192	-17	17	7092
193	-19	19	7111	193	-19	19	7111	193	-19	19	7111	193	-19	19	7111	193	-19	19	7111
194	-17	17	7128	194	-17	17	7128	194	-17	17	7128	194	-17	17	7128	194	-17	17	7128
195	-18	18	7146	195	-18	18	7146	195	-18	18	7146	195	-18	18	7146	195	-18	18	7146
196	-19	19	7165	196	-19	19	7165	196	-19	19	7165	196	-19	19	7165	196	-19	19	7165
197	-17	17	7182	197	-17	17	7182	197	-17	17	7182	197	-17	17	7182	197	-17	17	7182
198	-19	19	7201	198	-19	19	7201	198	-19	19	7201	198	-19	19	7201	198	-19	19	7201
199	-17	17	7218	199	-17	17	7218	199	-17	17	7218	199	-17	17	7218	199	-17	17	7218
200	-20	20	7238	200	-20	20	7238	200	-20	20	7238	200	-20	20	7238	200	-20	20	7238
201	-17	17	7255	201	-17	17	7255	201	-17	17	7255	201	-17	17	7255	201	-17	17	7255
202	-17	17	7272	202	-17	17	7272	202	-17	17	7272	202	-17	17	7272	202	-17	17	7272
203	-21	21	7293	203	-21	21	7293	203	-21	21	7293	203	-21	21	7293	203	-21	21	7293
204	-19	19	7312	204	-19	19	7312	204	-19	19	7312	204	-19	19	7312	204	-19	19	7312
205	-24	24	7336	205	-24	24	7336	205	-24	24	7336	205	-24	24	7336	205	-24	24	7336
206	-20	20	7356	206	-20	20	7356	206	-20	20	7356	206	-20	20	7356	206	-20	20	7356
207	-19	19	7375	207	-19	19	7375	207	-19	19	7375	207	-19	19	7375	207	-19	19	7375
208	-17	17	7392	208	-17	17	7392	208	-17	17	7392	208	-17	17	7392	208	-17	17	7392
209	-17	17	7409	209	-17	17	7409	209	-17	17	7409	209	-17	17	7409	209	-17	17	7409
210	-29	29	7438	210	-29	29	7438	210	-29	29	7438	210	-29	29	7438	210	-29	29	7438
211	-19	19	7457	211	-19	19	7457	211	-19	19	7457	211	-19	19	7457	211	-19	19	7457
212	-17	17	7474	212	-17	17	7474	212	-17	17	7474	212	-17	17	7474	212	-17	17	7474
213	-20	20	7494	213	-20	20	7494	213	-20	20	7494	213	-20	20	7494	213	-20	20	7494
214	-119	20	7514	214	-119	20	7514	214	-119	20	7514	214	-119	20	7514	214	-119	20	7514
215	-26	26	7540	215	-26	26	7540	215	-26	26	7540	215	-26	26	7540	215	-26	26	7540
216	-19	19	7559	216	-19	19	7559	216	-19	19	7559	216	-19	19	7559	216	-19	19	7559
217	-24	24	7583	217	-24	24	7583	217	-24	24	7583	217	-24	24	7583	217	-24	24	7583
218	-23	23	7606	218	-23	23	7606	218	-23	23	7606	218	-23	23	7606	218	-23	23	7606
219	-22	22	7628	219	-22	22	7628	219	-22	22	7628	219	-22	22	7628	219	-22	22	7628
220	-17	17	7645	220	-17	17	7645	220	-17	17	7645	220	-17	17	7645	220	-17	17	7645
221	-117	18	7663	221	-117	18	7663	221	-117	18	7663	221	-117	18	7663	221	-117	18	7663
222	-20	20	7683	222	-20	20	7683	222	-20	20	7683	222	-20	20	7683	222	-20	20	7683
223	-21	21	7704	223	-21	21	7704	223	-21	21	7704	223	-21	21	7704	223	-21	21	7704
224	-17	17	7721	224	-17	17	7721	224	-17	17	7721	224	-17	17	7721	224	-17	17	7721
225	-19	19	7740	225	-19	19	7740	225	-19	19	7740	225	-19	19	7740	225	-19	19	7740
226	-17	17	7757	226	-17	17	7757	226	-17	17	7757	226	-17	17	7757	226	-17	17	7757
227	-17	17	7774	227	-17	17	7774	227	-17	17	7774	227	-17	17	7774	227	-17	17	7774
228	-17	17	7791	228	-17	17	7791	228	-17	17	7791	228	-17	17	7791	228	-17	17	7791
229	-17	17	7808	229	-17	17	7808	229	-17	17	7808	229	-17	17	7808	229	-17	17	7808
230	-17	17	7825	230	-17	17	7825	230	-17	17	7825	230	-17	17	7825	230	-17	17	7825
231	-18	18	7843	231	-18	18	7843	231	-18	18	7843	231	-18	18	7843	231	-18	18	7843
232	-18	18	7861	232	-18	18	7861	232	-18	18	7861	232	-18	18	7861	232	-18	18	7861
233	-20	20	7881	233	-20	20	7881	233	-20	20	7881	233	-20	20	7881	233	-20	20	7881
234	-25	25	7906	234	-25	25	7906	234	-25	25	7906	234	-25	25	7906	234	-25	25	7906
235	-23	23	7929	235	-23	23	7929	235	-23	23	7929	235	-23	23	7929	235	-23	23	7929
236	-17	17	7946	236	-17	17	7946	236	-17	17	7946	236	-17	17	7946	236	-17	17	7946
237	-23	23	7969	237	-23	23	7969	237	-23	23	7969	237	-23	23	7969	237	-23	23	7969
238	-23	23	7992	238	-23	23	7992	238	-23	23	7992	238	-23	23	7992	238	-23	23	7992
239	-19	19	8011	239	-19	19	8011	239	-19	19	8011	239	-19	19	8011	239	-19	19	8011
240	-22	22	8033	240	-22	22	8033	240	-22	22	8033	240	-22	22	8033	240	-22	22	8033
241	-23	23	8056	241	-23	23	8056	241	-23	23	8056	241	-23	23	8056	241	-23	23	8056
242	-17	17	8073	242	-17	17	8073	242	-17	17	8073	242	-17	17	8073	242	-17	17	8073
243	-25	25	8098	243	-25	25	8098	243	-25	25	8098	243	-25	25	8098	243	-25	25	8098
244	-21	21	8119	244	-21	21	8119	244	-21	21	8119	244	-21	21	8119	244	-21	21	8119
245	-132	33	8152	245	-132	33	8152	245	-132	33	8152	245	-132	33	8152	245	-132	33	8152
246	-17	17	8169	246	-17	17	8169	246	-17	17	8169	246	-17	17	8169	246	-17	17	8169
247	-17	17	8186	247	-17	17	8186	247	-17	17	8186	247	-17	17	8186	247	-17	17	8186
248	-24	24	8210	248	-24	24	8210	248	-24	24	8210	248	-24	24	8210	248	-24	24	8210
249	-22	22	8232	249	-22	22	8232	249	-22	22	8232	249	-22	22	8232	249	-22	22	8232
250	-20	20	8252	250	-20	20	8252	250	-20	20	8252	250	-20	20	8252	250	-20	20	8252
251	-18	18	8270	251	-18	18	8270	251	-18	18	8270	251	-18	18	8270	251	-18	18	8270
252	-17	17	8287	252	-17	17	8287	252	-17	17	8287	252	-17	17	8287	252	-17	17	8287
253	-19	19	8306	253	-19	19	8306	253	-19	19	8306	253	-19	19	8306	253	-19	19	8306
254	-21	21	8327	254	-21	21	8327	254	-21	21	8327	254	-21	21	8327	254	-21	21	8327
255	-18	18	8345	255	-18	18	8345	255	-18	18	8345	255	-18	18	8345	255	-18	18	8345
256	-18	18	8363	256	-18	18	8363	256	-18	18	8363	256	-18	18	8363	256	-18	18	8363
257	-17	17	8380	257	-17	17	8380	257	-17	17	8380	257	-17	17	8380	257	-17	17	8380
258	-19	19	8399	258	-19	19	8399	258	-19	19	8399	258	-19	19	8399	258	-19	19	8399
259	-17	17	8416	259	-17	17	8416	259	-17	17	8416	259	-17	17	8416	259	-17	17	8416
260	-20	20	8436	260	-20	20	8436	260	-20	20	8436	260	-20	20	8436	260	-20	20	8436
261	-18	18	8454	261	-18	18	8454	261	-18	18	8454	261	-18	18	8454	261	-18	18	8454
262	-17	17	8471	262	-17	17	8471	262	-17	17	8471	262	-17	17	8471	262	-17	17	8471
263	-22	22	8493	263	-22	22	8493	263	-22	22	8493	263	-22	22	8493	263	-22	22	8493
264	-19	19	8512	264	-19	19	8512	264	-19	19	8512	264	-19	19	8512	264	-19	19	8512
265	-18	18	8530	265	-18	18	8530	265	-18	18	8530	265	-18	18	8530	265	-18	18	8530
266	-25	25	8555	266	-25	25	8555	266	-25	25	8555	266	-25	25	8555	266	-25	25	8555
267	-20	20	8575	267	-20	20	8575	267	-20	20	8575	267	-20	20	8575	267	-20	20	8575
268	-22	22	8597	268	-22	22	8597	268	-22	22	8597	268	-22	22	8597	268	-22	22	8597
269	-17	17	8614	269	-17	17	8614	269	-17	17	8614	269	-17	17	8614	269	-17	17	8614
