Episode	Accumulated Reward	Length	Steps
921	-2	4	4123
922	-2	4	4127
923	-2	4	4131
924	-2	4	4135
925	-4	6	4141
926	-2	4	4145
927	-2	4	4149
928	-2	4	4153
929	-2	4	4157
930	-2	4	4161
931	-2	4	4165
932	-2	4	4169
933	-2	4	4173
934	-4	6	4179
935	-2	4	4183
936	-2	4	4187
937	-2	4	4191
938	-2	4	4195
939	-2	4	4199
940	-2	4	4203
941	-2	4	4207
942	-2	4	4211
943	-2	4	4215
944	-6	8	4223
945	-2	4	4227
946	-4	6	4233
947	-2	4	4237
948	-2	4	4241
949	-2	4	4245
950	-2	4	4249
951	-2	4	4253
952	-2	4	4257
953	-2	4	4261
954	-2	4	4265
955	-2	4	4269
956	-2	4	4273
957	-2	4	4277
958	-2	4	4281
959	-2	4	4285
960	-2	4	4289
961	-2	4	4293
962	-2	4	4297
963	-2	4	4301
964	-2	4	4305
965	-2	4	4309
966	-2	4	4313
967	-2	4	4317
968	-2	4	4321
969	-2	4	4325
970	-2	4	4329
971	-2	4	4333
972	-2	4	4337
973	-2	4	4341
974	-2	4	4345
975	-2	4	4349
976	-2	4	4353
977	-2	4	4357
978	-2	4	4361
979	-2	4	4365
980	-2	4	4369
981	-2	4	4373
982	-2	4	4377
983	-2	4	4381
984	-2	4	4385
985	-2	4	4389
986	-2	4	4393
987	-2	4	4397
988	-2	4	4401
989	-2	4	4405
990	-2	4	4409
991	-2	4	4413
992	-2	4	4417
993	-2	4	4421
994	-2	4	4425
995	-2	4	4429
996	-2	4	4433
997	-2	4	4437
998	-2	4	4441
999	-2	4	4445
1000	-2	4	4449
1001	-2	4	4453
1002	-2	4	4457
1003	-2	4	4461
1004	-2	4	4465
1005	-2	4	4469
1006	-2	4	4473
1007	-2	4	4477
1008	-2	4	4481
1009	-2	4	4485
1010	-2	4	4489
1011	-2	4	4493
1012	-2	4	4497
1013	-4	6	4503
1014	-2	4	4507
1015	-2	4	4511
1016	-2	4	4515
1017	-4	6	4521
1018	-2	4	4525
1019	-2	4	4529
1020	-2	4	4533
1021	-2	4	4537
1022	-2	4	4541
1023	-2	4	4545
1024	-2	4	4549
1025	-2	4	4553
1026	-2	4	4557
1027	-2	4	4561
1028	-2	4	4565
1029	-2	4	4569
1030	-4	6	4575
1031	-2	4	4579
1032	-2	4	4583
1033	-2	4	4587
1034	-2	4	4591
1035	-2	4	4595
1036	-2	4	4599
1037	-2	4	4603
1038	-2	4	4607
1039	-2	4	4611
1040	-2	4	4615
1041	-2	4	4619
1042	-2	4	4623
1043	-2	4	4627
1044	-2	4	4631
1045	-2	4	4635
1046	-2	4	4639
1047	-2	4	4643
1048	-2	4	4647
1049	-2	4	4651
1050	-2	4	4655
1051	-2	4	4659
1052	-2	4	4663
1053	-2	4	4667
1054	-2	4	4671
1055	-2	4	4675
1056	-2	4	4679
1057	-2	4	4683
1058	-2	4	4687
1059	-2	4	4691
1060	-2	4	4695
1061	-2	4	4699
1062	-2	4	4703
1063	-2	4	4707
1064	-2	4	4711
1065	-2	4	4715
1066	-2	4	4719
1067	-2	4	4723
1068	-2	4	4727
1069	-2	4	4731
1070	-2	4	4735
1071	-2	4	4739
1072	-2	4	4743
1073	-2	4	4747
1074	-2	4	4751
1075	-2	4	4755
1076	-2	4	4759
1077	-2	4	4763
1078	-2	4	4767
1079	-2	4	4771
1080	-4	6	4777
1081	-2	4	4781
1082	-2	4	4785
1083	-2	4	4789
1084	-2	4	4793
1085	-2	4	4797
1086	-2	4	4801
1087	-2	4	4805
1088	-2	4	4809
1089	-2	4	4813
1090	-2	4	4817
1091	-2	4	4821
1092	-2	4	4825
1093	-2	4	4829
1094	-2	4	4833
1095	-2	4	4837
1096	-2	4	4841
1097	-2	4	4845
1098	-2	4	4849
1099	-2	4	4853
1100	-2	4	4857
1101	-2	4	4861
1102	-2	4	4865
1103	-2	4	4869
1104	-2	4	4873
1105	-2	4	4877
1106	-2	4	4881
1107	-2	4	4885
1108	-2	4	4889
1109	-2	4	4893
1110	-2	4	4897
1111	-2	4	4901
1112	-2	4	4905
1113	-2	4	4909
1114	-2	4	4913
1115	-2	4	4917
1116	-2	4	4921
1117	-2	4	4925
1118	-2	4	4929
1119	-2	4	4933
1120	-2	4	4937
1121	-2	4	4941
1122	-2	4	4945
1123	-2	4	4949
1124	-2	4	4953
1125	-2	4	4957
1126	-2	4	4961
1127	-2	4	4965
1128	-2	4	4969
1129	-2	4	4973
1130	-2	4	4977
1131	-2	4	4981
1132	-2	4	4985
1133	-2	4	4989
1134	-2	4	4993
1135	-2	4	4997
1136	-2	4	5001
1137	-2	4	5005
1138	-2	4	5009
1139	-2	4	5013
1140	-2	4	5017
1141	-2	4	5021
1142	-2	4	5025
1143	-4	6	5031
1144	-4	6	5037
1145	-2	4	5041
1146	-2	4	5045
1147	-2	4	5049
1148	-2	4	5053
1149	-2	4	5057
1150	-2	4	5061
1151	-2	4	5065
1152	-2	4	5069
1153	-2	4	5073
1154	-2	4	5077
1155	-2	4	5081
1156	-2	4	5085
1157	-2	4	5089
1158	-2	4	5093
1159	-2	4	5097
1160	-2	4	5101
1161	-2	4	5105
1162	-2	4	5109
1163	-2	4	5113
1164	-4	6	5119
1165	-2	4	5123
1166	-2	4	5127
1167	-2	4	5131
1168	-2	4	5135
1169	-2	4	5139
1170	-2	4	5143
1171	-2	4	5147
1172	-2	4	5151
1173	-4	6	5157
1174	-4	6	5163
1175	-2	4	5167
1176	-2	4	5171
1177	-2	4	5175
1178	-2	4	5179
1179	-2	4	5183
1180	-2	4	5187
1181	-2	4	5191
1182	-3	5	5196
1183	-2	4	5200
1184	-2	4	5204
1185	-2	4	5208
1186	-2	4	5212
1187	-2	4	5216
1188	-2	4	5220
1189	-2	4	5224
1190	-2	4	5228
1191	-2	4	5232
1192	-2	4	5236
1193	-2	4	5240
1194	-2	4	5244
1195	-2	4	5248
1196	-2	4	5252
1197	-2	4	5256
1198	-2	4	5260
1199	-2	4	5264
1200	-2	4	5268
1201	-2	4	5272
1202	-2	4	5276
1203	-2	4	5280
1204	-2	4	5284
1205	-2	4	5288
1206	-2	4	5292
1207	-2	4	5296
1208	-2	4	5300
1209	-2	4	5304
