Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
179	-42	42	6786	179	-42	42	6786	179	-42	42	6786	179	-42	42	6786	179	-42	42	6786	179	-42	42	6786	179	-42	42	6786
180	-17	17	6803	180	-17	17	6803	180	-17	17	6803	180	-17	17	6803	180	-17	17	6803	180	-17	17	6803	180	-17	17	6803
181	-18	18	6821	181	-18	18	6821	181	-18	18	6821	181	-18	18	6821	181	-18	18	6821	181	-18	18	6821	181	-18	18	6821
182	-18	18	6839	182	-18	18	6839	182	-18	18	6839	182	-18	18	6839	182	-18	18	6839	182	-18	18	6839	182	-18	18	6839
183	-17	17	6856	183	-17	17	6856	183	-17	17	6856	183	-17	17	6856	183	-17	17	6856	183	-17	17	6856	183	-17	17	6856
184	-18	18	6874	184	-18	18	6874	184	-18	18	6874	184	-18	18	6874	184	-18	18	6874	184	-18	18	6874	184	-18	18	6874
185	-17	17	6891	185	-17	17	6891	185	-17	17	6891	185	-17	17	6891	185	-17	17	6891	185	-17	17	6891	185	-17	17	6891
186	-21	21	6912	186	-21	21	6912	186	-21	21	6912	186	-21	21	6912	186	-21	21	6912	186	-21	21	6912	186	-21	21	6912
187	-19	19	6931	187	-19	19	6931	187	-19	19	6931	187	-19	19	6931	187	-19	19	6931	187	-19	19	6931	187	-19	19	6931
188	-20	20	6951	188	-20	20	6951	188	-20	20	6951	188	-20	20	6951	188	-20	20	6951	188	-20	20	6951	188	-20	20	6951
189	-19	19	6970	189	-19	19	6970	189	-19	19	6970	189	-19	19	6970	189	-19	19	6970	189	-19	19	6970	189	-19	19	6970
