Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
114	-25	25	9130	114	-25	25	9130	114	-25	25	9130	114	-25	25	9130	114	-25	25	9130	114	-25	25	9130	114	-25	25	9130	114	-25	25	9130	114	-25	25	9130	114	-25	25	9130
115	-27	27	9157	115	-27	27	9157	115	-27	27	9157	115	-27	27	9157	115	-27	27	9157	115	-27	27	9157	115	-27	27	9157	115	-27	27	9157	115	-27	27	9157	115	-27	27	9157
116	-25	25	9182	116	-25	25	9182	116	-25	25	9182	116	-25	25	9182	116	-25	25	9182	116	-25	25	9182	116	-25	25	9182	116	-25	25	9182	116	-25	25	9182	116	-25	25	9182
117	-148	49	9231	117	-148	49	9231	117	-148	49	9231	117	-148	49	9231	117	-148	49	9231	117	-148	49	9231	117	-148	49	9231	117	-148	49	9231	117	-148	49	9231	117	-148	49	9231
118	-52	52	9283	118	-52	52	9283	118	-52	52	9283	118	-52	52	9283	118	-52	52	9283	118	-52	52	9283	118	-52	52	9283	118	-52	52	9283	118	-52	52	9283	118	-52	52	9283
119	-25	25	9308	119	-25	25	9308	119	-25	25	9308	119	-25	25	9308	119	-25	25	9308	119	-25	25	9308	119	-25	25	9308	119	-25	25	9308	119	-25	25	9308	119	-25	25	9308
120	-36	36	9344	120	-36	36	9344	120	-36	36	9344	120	-36	36	9344	120	-36	36	9344	120	-36	36	9344	120	-36	36	9344	120	-36	36	9344	120	-36	36	9344	120	-36	36	9344
121	-134	35	9379	121	-134	35	9379	121	-134	35	9379	121	-134	35	9379	121	-134	35	9379	121	-134	35	9379	121	-134	35	9379	121	-134	35	9379	121	-134	35	9379	121	-134	35	9379
122	-128	29	9408	122	-128	29	9408	122	-128	29	9408	122	-128	29	9408	122	-128	29	9408	122	-128	29	9408	122	-128	29	9408	122	-128	29	9408	122	-128	29	9408	122	-128	29	9408
123	-40	40	9448	123	-40	40	9448	123	-40	40	9448	123	-40	40	9448	123	-40	40	9448	123	-40	40	9448	123	-40	40	9448	123	-40	40	9448	123	-40	40	9448	123	-40	40	9448
124	-42	42	9490	124	-42	42	9490	124	-42	42	9490	124	-42	42	9490	124	-42	42	9490	124	-42	42	9490	124	-42	42	9490	124	-42	42	9490	124	-42	42	9490	124	-42	42	9490
125	-22	22	9512	125	-22	22	9512	125	-22	22	9512	125	-22	22	9512	125	-22	22	9512	125	-22	22	9512	125	-22	22	9512	125	-22	22	9512	125	-22	22	9512	125	-22	22	9512
126	-192	93	9605	126	-192	93	9605	126	-192	93	9605	126	-192	93	9605	126	-192	93	9605	126	-192	93	9605	126	-192	93	9605	126	-192	93	9605	126	-192	93	9605	126	-192	93	9605
127	-21	21	9626	127	-21	21	9626	127	-21	21	9626	127	-21	21	9626	127	-21	21	9626	127	-21	21	9626	127	-21	21	9626	127	-21	21	9626	127	-21	21	9626	127	-21	21	9626
128	-20	20	9646	128	-20	20	9646	128	-20	20	9646	128	-20	20	9646	128	-20	20	9646	128	-20	20	9646	128	-20	20	9646	128	-20	20	9646	128	-20	20	9646	128	-20	20	9646
