Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
151	-17	17	2593	151	-17	17	2593	151	-17	17	2593	151	-17	17	2593	151	-17	17	2593	151	-17	17	2593	151	-17	17	2593
152	-17	17	2610	152	-17	17	2610	152	-17	17	2610	152	-17	17	2610	152	-17	17	2610	152	-17	17	2610	152	-17	17	2610
153	-25	25	2635	153	-25	25	2635	153	-25	25	2635	153	-25	25	2635	153	-25	25	2635	153	-25	25	2635	153	-25	25	2635
154	-17	17	2652	154	-17	17	2652	154	-17	17	2652	154	-17	17	2652	154	-17	17	2652	154	-17	17	2652	154	-17	17	2652
155	-17	17	2669	155	-17	17	2669	155	-17	17	2669	155	-17	17	2669	155	-17	17	2669	155	-17	17	2669	155	-17	17	2669
156	-19	19	2688	156	-19	19	2688	156	-19	19	2688	156	-19	19	2688	156	-19	19	2688	156	-19	19	2688	156	-19	19	2688
157	-15	15	2703	157	-15	15	2703	157	-15	15	2703	157	-15	15	2703	157	-15	15	2703	157	-15	15	2703	157	-15	15	2703
158	-17	17	2720	158	-17	17	2720	158	-17	17	2720	158	-17	17	2720	158	-17	17	2720	158	-17	17	2720	158	-17	17	2720
159	-15	15	2735	159	-15	15	2735	159	-15	15	2735	159	-15	15	2735	159	-15	15	2735	159	-15	15	2735	159	-15	15	2735
160	-17	17	2752	160	-17	17	2752	160	-17	17	2752	160	-17	17	2752	160	-17	17	2752	160	-17	17	2752	160	-17	17	2752
161	-15	15	2767	161	-15	15	2767	161	-15	15	2767	161	-15	15	2767	161	-15	15	2767	161	-15	15	2767	161	-15	15	2767
162	-15	15	2782	162	-15	15	2782	162	-15	15	2782	162	-15	15	2782	162	-15	15	2782	162	-15	15	2782	162	-15	15	2782
163	-19	19	2801	163	-19	19	2801	163	-19	19	2801	163	-19	19	2801	163	-19	19	2801	163	-19	19	2801	163	-19	19	2801
164	-15	15	2816	164	-15	15	2816	164	-15	15	2816	164	-15	15	2816	164	-15	15	2816	164	-15	15	2816	164	-15	15	2816
165	-17	17	2833	165	-17	17	2833	165	-17	17	2833	165	-17	17	2833	165	-17	17	2833	165	-17	17	2833	165	-17	17	2833
166	-15	15	2848	166	-15	15	2848	166	-15	15	2848	166	-15	15	2848	166	-15	15	2848	166	-15	15	2848	166	-15	15	2848
167	-15	15	2863	167	-15	15	2863	167	-15	15	2863	167	-15	15	2863	167	-15	15	2863	167	-15	15	2863	167	-15	15	2863
168	-15	15	2878	168	-15	15	2878	168	-15	15	2878	168	-15	15	2878	168	-15	15	2878	168	-15	15	2878	168	-15	15	2878
169	-15	15	2893	169	-15	15	2893	169	-15	15	2893	169	-15	15	2893	169	-15	15	2893	169	-15	15	2893	169	-15	15	2893
170	-17	17	2910	170	-17	17	2910	170	-17	17	2910	170	-17	17	2910	170	-17	17	2910	170	-17	17	2910	170	-17	17	2910
171	-15	15	2925	171	-15	15	2925	171	-15	15	2925	171	-15	15	2925	171	-15	15	2925	171	-15	15	2925	171	-15	15	2925
172	-17	17	2942	172	-17	17	2942	172	-17	17	2942	172	-17	17	2942	172	-17	17	2942	172	-17	17	2942	172	-17	17	2942
173	-21	21	2963	173	-21	21	2963	173	-21	21	2963	173	-21	21	2963	173	-21	21	2963	173	-21	21	2963	173	-21	21	2963
174	-17	17	2980	174	-17	17	2980	174	-17	17	2980	174	-17	17	2980	174	-17	17	2980	174	-17	17	2980	174	-17	17	2980
175	-15	15	2995	175	-15	15	2995	175	-15	15	2995	175	-15	15	2995	175	-15	15	2995	175	-15	15	2995	175	-15	15	2995
176	-15	15	3010	176	-15	15	3010	176	-15	15	3010	176	-15	15	3010	176	-15	15	3010	176	-15	15	3010	176	-15	15	3010
177	-17	17	3027	177	-17	17	3027	177	-17	17	3027	177	-17	17	3027	177	-17	17	3027	177	-17	17	3027	177	-17	17	3027
178	-17	17	3044	178	-17	17	3044	178	-17	17	3044	178	-17	17	3044	178	-17	17	3044	178	-17	17	3044	178	-17	17	3044
179	-17	17	3061	179	-17	17	3061	179	-17	17	3061	179	-17	17	3061	179	-17	17	3061	179	-17	17	3061	179	-17	17	3061
180	-15	15	3076	180	-15	15	3076	180	-15	15	3076	180	-15	15	3076	180	-15	15	3076	180	-15	15	3076	180	-15	15	3076
181	-21	21	3097	181	-21	21	3097	181	-21	21	3097	181	-21	21	3097	181	-21	21	3097	181	-21	21	3097	181	-21	21	3097
182	-15	15	3112	182	-15	15	3112	182	-15	15	3112	182	-15	15	3112	182	-15	15	3112	182	-15	15	3112	182	-15	15	3112
183	-17	17	3129	183	-17	17	3129	183	-17	17	3129	183	-17	17	3129	183	-17	17	3129	183	-17	17	3129	183	-17	17	3129
184	-15	15	3144	184	-15	15	3144	184	-15	15	3144	184	-15	15	3144	184	-15	15	3144	184	-15	15	3144	184	-15	15	3144
185	-17	17	3161	185	-17	17	3161	185	-17	17	3161	185	-17	17	3161	185	-17	17	3161	185	-17	17	3161	185	-17	17	3161
186	-17	17	3178	186	-17	17	3178	186	-17	17	3178	186	-17	17	3178	186	-17	17	3178	186	-17	17	3178	186	-17	17	3178
187	-17	17	3195	187	-17	17	3195	187	-17	17	3195	187	-17	17	3195	187	-17	17	3195	187	-17	17	3195	187	-17	17	3195
