Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
92	-16	16	1647	92	-16	16	1647	92	-16	16	1647	92	-16	16	1647	92	-16	16	1647	92	-16	16	1647	92	-16	16	1647	92	-16	16	1647	92	-16	16	1647
93	-17	17	1664	93	-17	17	1664	93	-17	17	1664	93	-17	17	1664	93	-17	17	1664	93	-17	17	1664	93	-17	17	1664	93	-17	17	1664	93	-17	17	1664
94	-15	15	1679	94	-15	15	1679	94	-15	15	1679	94	-15	15	1679	94	-15	15	1679	94	-15	15	1679	94	-15	15	1679	94	-15	15	1679	94	-15	15	1679
95	-17	17	1696	95	-17	17	1696	95	-17	17	1696	95	-17	17	1696	95	-17	17	1696	95	-17	17	1696	95	-17	17	1696	95	-17	17	1696	95	-17	17	1696
96	-15	15	1711	96	-15	15	1711	96	-15	15	1711	96	-15	15	1711	96	-15	15	1711	96	-15	15	1711	96	-15	15	1711	96	-15	15	1711	96	-15	15	1711
97	-18	18	1729	97	-18	18	1729	97	-18	18	1729	97	-18	18	1729	97	-18	18	1729	97	-18	18	1729	97	-18	18	1729	97	-18	18	1729	97	-18	18	1729
98	-17	17	1746	98	-17	17	1746	98	-17	17	1746	98	-17	17	1746	98	-17	17	1746	98	-17	17	1746	98	-17	17	1746	98	-17	17	1746	98	-17	17	1746
99	-15	15	1761	99	-15	15	1761	99	-15	15	1761	99	-15	15	1761	99	-15	15	1761	99	-15	15	1761	99	-15	15	1761	99	-15	15	1761	99	-15	15	1761
100	-15	15	1776	100	-15	15	1776	100	-15	15	1776	100	-15	15	1776	100	-15	15	1776	100	-15	15	1776	100	-15	15	1776	100	-15	15	1776	100	-15	15	1776
101	-15	15	1791	101	-15	15	1791	101	-15	15	1791	101	-15	15	1791	101	-15	15	1791	101	-15	15	1791	101	-15	15	1791	101	-15	15	1791	101	-15	15	1791
102	-19	19	1810	102	-19	19	1810	102	-19	19	1810	102	-19	19	1810	102	-19	19	1810	102	-19	19	1810	102	-19	19	1810	102	-19	19	1810	102	-19	19	1810
103	-17	17	1827	103	-17	17	1827	103	-17	17	1827	103	-17	17	1827	103	-17	17	1827	103	-17	17	1827	103	-17	17	1827	103	-17	17	1827	103	-17	17	1827
104	-17	17	1844	104	-17	17	1844	104	-17	17	1844	104	-17	17	1844	104	-17	17	1844	104	-17	17	1844	104	-17	17	1844	104	-17	17	1844	104	-17	17	1844
105	-17	17	1861	105	-17	17	1861	105	-17	17	1861	105	-17	17	1861	105	-17	17	1861	105	-17	17	1861	105	-17	17	1861	105	-17	17	1861	105	-17	17	1861
106	-17	17	1878	106	-17	17	1878	106	-17	17	1878	106	-17	17	1878	106	-17	17	1878	106	-17	17	1878	106	-17	17	1878	106	-17	17	1878	106	-17	17	1878
107	-15	15	1893	107	-15	15	1893	107	-15	15	1893	107	-15	15	1893	107	-15	15	1893	107	-15	15	1893	107	-15	15	1893	107	-15	15	1893	107	-15	15	1893
108	-18	18	1911	108	-18	18	1911	108	-18	18	1911	108	-18	18	1911	108	-18	18	1911	108	-18	18	1911	108	-18	18	1911	108	-18	18	1911	108	-18	18	1911
109	-19	19	1930	109	-19	19	1930	109	-19	19	1930	109	-19	19	1930	109	-19	19	1930	109	-19	19	1930	109	-19	19	1930	109	-19	19	1930	109	-19	19	1930
110	-15	15	1945	110	-15	15	1945	110	-15	15	1945	110	-15	15	1945	110	-15	15	1945	110	-15	15	1945	110	-15	15	1945	110	-15	15	1945	110	-15	15	1945
111	-19	19	1964	111	-19	19	1964	111	-19	19	1964	111	-19	19	1964	111	-19	19	1964	111	-19	19	1964	111	-19	19	1964	111	-19	19	1964	111	-19	19	1964
112	-16	16	1980	112	-16	16	1980	112	-16	16	1980	112	-16	16	1980	112	-16	16	1980	112	-16	16	1980	112	-16	16	1980	112	-16	16	1980	112	-16	16	1980
113	-15	15	1995	113	-15	15	1995	113	-15	15	1995	113	-15	15	1995	113	-15	15	1995	113	-15	15	1995	113	-15	15	1995	113	-15	15	1995	113	-15	15	1995
114	-15	15	2010	114	-15	15	2010	114	-15	15	2010	114	-15	15	2010	114	-15	15	2010	114	-15	15	2010	114	-15	15	2010	114	-15	15	2010	114	-15	15	2010
115	-18	18	2028	115	-18	18	2028	115	-18	18	2028	115	-18	18	2028	115	-18	18	2028	115	-18	18	2028	115	-18	18	2028	115	-18	18	2028	115	-18	18	2028
