Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
177	-34	34	12178	177	-34	34	12178	177	-34	34	12178	177	-34	34	12178	177	-34	34	12178	177	-34	34	12178
178	-82	82	12260	178	-82	82	12260	178	-82	82	12260	178	-82	82	12260	178	-82	82	12260	178	-82	82	12260
179	-168	69	12329	179	-168	69	12329	179	-168	69	12329	179	-168	69	12329	179	-168	69	12329	179	-168	69	12329
180	-38	38	12367	180	-38	38	12367	180	-38	38	12367	180	-38	38	12367	180	-38	38	12367	180	-38	38	12367
181	-257	59	12426	181	-257	59	12426	181	-257	59	12426	181	-257	59	12426	181	-257	59	12426	181	-257	59	12426
182	-182	83	12509	182	-182	83	12509	182	-182	83	12509	182	-182	83	12509	182	-182	83	12509	182	-182	83	12509
183	-44	44	12553	183	-44	44	12553	183	-44	44	12553	183	-44	44	12553	183	-44	44	12553	183	-44	44	12553
184	-34	34	12587	184	-34	34	12587	184	-34	34	12587	184	-34	34	12587	184	-34	34	12587	184	-34	34	12587
185	-95	95	12682	185	-95	95	12682	185	-95	95	12682	185	-95	95	12682	185	-95	95	12682	185	-95	95	12682
186	-25	25	12707	186	-25	25	12707	186	-25	25	12707	186	-25	25	12707	186	-25	25	12707	186	-25	25	12707
187	-48	48	12755	187	-48	48	12755	187	-48	48	12755	187	-48	48	12755	187	-48	48	12755	187	-48	48	12755
188	-290	92	12847	188	-290	92	12847	188	-290	92	12847	188	-290	92	12847	188	-290	92	12847	188	-290	92	12847
189	-33	33	12880	189	-33	33	12880	189	-33	33	12880	189	-33	33	12880	189	-33	33	12880	189	-33	33	12880
190	-35	35	12915	190	-35	35	12915	190	-35	35	12915	190	-35	35	12915	190	-35	35	12915	190	-35	35	12915
191	-44	44	12959	191	-44	44	12959	191	-44	44	12959	191	-44	44	12959	191	-44	44	12959	191	-44	44	12959
192	-177	78	13037	192	-177	78	13037	192	-177	78	13037	192	-177	78	13037	192	-177	78	13037	192	-177	78	13037
193	-63	63	13100	193	-63	63	13100	193	-63	63	13100	193	-63	63	13100	193	-63	63	13100	193	-63	63	13100
194	-47	47	13147	194	-47	47	13147	194	-47	47	13147	194	-47	47	13147	194	-47	47	13147	194	-47	47	13147
195	-175	76	13223	195	-175	76	13223	195	-175	76	13223	195	-175	76	13223	195	-175	76	13223	195	-175	76	13223
196	-172	73	13296	196	-172	73	13296	196	-172	73	13296	196	-172	73	13296	196	-172	73	13296	196	-172	73	13296
197	-50	50	13346	197	-50	50	13346	197	-50	50	13346	197	-50	50	13346	197	-50	50	13346	197	-50	50	13346
198	-57	57	13403	198	-57	57	13403	198	-57	57	13403	198	-57	57	13403	198	-57	57	13403	198	-57	57	13403
199	-230	32	13435	199	-230	32	13435	199	-230	32	13435	199	-230	32	13435	199	-230	32	13435	199	-230	32	13435
200	-40	40	13475	200	-40	40	13475	200	-40	40	13475	200	-40	40	13475	200	-40	40	13475	200	-40	40	13475
201	-45	45	13520	201	-45	45	13520	201	-45	45	13520	201	-45	45	13520	201	-45	45	13520	201	-45	45	13520
202	-35	35	13555	202	-35	35	13555	202	-35	35	13555	202	-35	35	13555	202	-35	35	13555	202	-35	35	13555
203	-55	55	13610	203	-55	55	13610	203	-55	55	13610	203	-55	55	13610	203	-55	55	13610	203	-55	55	13610
204	-54	54	13664	204	-54	54	13664	204	-54	54	13664	204	-54	54	13664	204	-54	54	13664	204	-54	54	13664
205	-24	24	13688	205	-24	24	13688	205	-24	24	13688	205	-24	24	13688	205	-24	24	13688	205	-24	24	13688
206	-47	47	13735	206	-47	47	13735	206	-47	47	13735	206	-47	47	13735	206	-47	47	13735	206	-47	47	13735
207	-168	69	13804	207	-168	69	13804	207	-168	69	13804	207	-168	69	13804	207	-168	69	13804	207	-168	69	13804
208	-24	24	13828	208	-24	24	13828	208	-24	24	13828	208	-24	24	13828	208	-24	24	13828	208	-24	24	13828
209	-40	40	13868	209	-40	40	13868	209	-40	40	13868	209	-40	40	13868	209	-40	40	13868	209	-40	40	13868
210	-240	42	13910	210	-240	42	13910	210	-240	42	13910	210	-240	42	13910	210	-240	42	13910	210	-240	42	13910
211	-33	33	13943	211	-33	33	13943	211	-33	33	13943	211	-33	33	13943	211	-33	33	13943	211	-33	33	13943
212	-31	31	13974	212	-31	31	13974	212	-31	31	13974	212	-31	31	13974	212	-31	31	13974	212	-31	31	13974
213	-49	49	14023	213	-49	49	14023	213	-49	49	14023	213	-49	49	14023	213	-49	49	14023	213	-49	49	14023
214	-42	42	14065	214	-42	42	14065	214	-42	42	14065	214	-42	42	14065	214	-42	42	14065	214	-42	42	14065
215	-393	96	14161	215	-393	96	14161	215	-393	96	14161	215	-393	96	14161	215	-393	96	14161	215	-393	96	14161
216	-30	30	14191	216	-30	30	14191	216	-30	30	14191	216	-30	30	14191	216	-30	30	14191	216	-30	30	14191
217	-132	33	14224	217	-132	33	14224	217	-132	33	14224	217	-132	33	14224	217	-132	33	14224	217	-132	33	14224
218	-129	30	14254	218	-129	30	14254	218	-129	30	14254	218	-129	30	14254	218	-129	30	14254	218	-129	30	14254
219	-36	36	14290	219	-36	36	14290	219	-36	36	14290	219	-36	36	14290	219	-36	36	14290	219	-36	36	14290
220	-45	45	14335	220	-45	45	14335	220	-45	45	14335	220	-45	45	14335	220	-45	45	14335	220	-45	45	14335
221	-286	88	14423	221	-286	88	14423	221	-286	88	14423	221	-286	88	14423	221	-286	88	14423	221	-286	88	14423
222	-145	46	14469	222	-145	46	14469	222	-145	46	14469	222	-145	46	14469	222	-145	46	14469	222	-145	46	14469
